AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
####################################################### Allgather #######################################################
nranks=16
k=1
check_iters=0, warmup_iters=100, iters=100
nblocks=16, n_parallel_sm_blocks=1
KERNEL=pipeline_allgather_kernel_parallel_sm.cu::pipeline_allgather_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
           805306368              524288             4370.96             4370.96              184.24              184.24
           805306368             1048576             3515.24             3515.24              229.09              229.09
           805306368             2097152             3169.05             3169.05              254.12              254.12
           805306368             4194304             3167.10             3167.10              254.27              254.27
          1610612736               65536            32558.57            32558.57               49.47               49.47
          1610612736              131072            19426.18            19426.18               82.91               82.91
          1610612736              262144            12174.53            12174.53              132.29              132.29
          1610612736              524288             8574.77             8574.77              187.83              187.83
          1610612736             1048576             6976.68             6976.68              230.86              230.86
          1610612736             2097152             6341.84             6341.84              253.97              253.97
          1610612736             4194304             6266.42             6266.42              257.02              257.02
          3221225472               65536            65064.24            65064.24               49.51               49.51
          3221225472              131072            38818.18            38818.18               82.98               82.98
          3221225472              262144            24239.75            24239.75              132.89              132.89
          3221225472              524288            16894.42            16894.42              190.67              190.67
          3221225472             1048576            13878.56            13878.56              232.10              232.10
          3221225472             2097152            12911.76            12911.76              249.48              249.48
          3221225472             4194304            12812.55            12812.55              251.41              251.41

####################################################### Allgather #######################################################
nranks=16
k=1
check_iters=0, warmup_iters=100, iters=100
nblocks=44, n_parallel_sm_blocks=3
KERNEL=pipeline_allgather_kernel_parallel_sm.cu::pipeline_allgather_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               43.96               43.96                0.07                0.07
                3072              131072               43.88               43.88                0.07                0.07
                3072              262144               43.70               43.70                0.07                0.07
                3072              524288               43.97               43.97                0.07                0.07
                3072             1048576               43.66               43.66                0.07                0.07
                3072             2097152               43.61               43.61                0.07                0.07
                3072             4194304               43.70               43.70                0.07                0.07
                6144               65536               43.97               43.97                0.14                0.14
                6144              131072               44.06               44.06                0.14                0.14
                6144              262144               44.11               44.11                0.14                0.14
                6144              524288               44.01               44.01                0.14                0.14
                6144             1048576               43.87               43.87                0.14                0.14
                6144             2097152               43.89               43.89                0.14                0.14
                6144             4194304               44.01               44.01                0.14                0.14
               12288               65536               44.30               44.30                0.28                0.28
               12288              131072               43.87               43.87                0.28                0.28
               12288              262144               43.98               43.98                0.28                0.28
               12288              524288               43.93               43.93                0.28                0.28
               12288             1048576               43.69               43.69                0.28                0.28
               12288             2097152               43.86               43.86                0.28                0.28
               12288             4194304               43.82               43.82                0.28                0.28
               24576               65536               43.87               43.87                0.56                0.56
               24576              131072               43.90               43.90                0.56                0.56
               24576              262144               43.66               43.66                0.56                0.56
               24576              524288               44.24               44.24                0.56                0.56
               24576             1048576               44.03               44.03                0.56                0.56
               24576             2097152               43.79               43.79                0.56                0.56
               24576             4194304               43.63               43.63                0.56                0.56
               49152               65536               44.15               44.15                1.11                1.11
               49152              131072               43.86               43.86                1.12                1.12
               49152              262144               46.05               46.05                1.07                1.07
               49152              524288               44.10               44.10                1.11                1.11
               49152             1048576               44.24               44.24                1.11                1.11
               49152             2097152               43.98               43.98                1.12                1.12
               49152             4194304               44.64               44.64                1.10                1.10
               98304               65536               45.05               45.05                2.18                2.18
               98304              131072               44.83               44.83                2.19                2.19
               98304              262144               44.90               44.90                2.19                2.19
               98304              524288               44.65               44.65                2.20                2.20
               98304             1048576               46.73               46.73                2.10                2.10
               98304             2097152               45.11               45.11                2.18                2.18
               98304             4194304               44.77               44.77                2.20                2.20
              196608               65536               45.83               45.83                4.29                4.29
              196608              131072               45.53               45.53                4.32                4.32
              196608              262144               45.91               45.91                4.28                4.28
              196608              524288               45.73               45.73                4.30                4.30
              196608             1048576               45.53               45.53                4.32                4.32
              196608             2097152               45.54               45.54                4.32                4.32
              196608             4194304               45.69               45.69                4.30                4.30
              393216               65536               46.51               46.51                8.45                8.45
              393216              131072               46.80               46.80                8.40                8.40
              393216              262144               46.59               46.59                8.44                8.44
              393216              524288               46.79               46.79                8.40                8.40
              393216             1048576               46.54               46.54                8.45                8.45
              393216             2097152               46.47               46.47                8.46                8.46
              393216             4194304               46.66               46.66                8.43                8.43
              786432               65536               48.64               48.64               16.17               16.17
              786432              131072               48.51               48.51               16.21               16.21
              786432              262144               48.50               48.50               16.22               16.22
              786432              524288               48.28               48.28               16.29               16.29
              786432             1048576               48.33               48.33               16.27               16.27
              786432             2097152               48.50               48.50               16.22               16.22
              786432             4194304               48.07               48.07               16.36               16.36
             1572864               65536               68.08               68.08               23.10               23.10
             1572864              131072               55.35               55.35               28.42               28.42
             1572864              262144               55.65               55.65               28.26               28.26
             1572864              524288               54.98               54.98               28.61               28.61
             1572864             1048576               54.79               54.79               28.70               28.70
             1572864             2097152               53.56               53.56               29.37               29.37
             1572864             4194304               52.92               52.92               29.72               29.72
