root@vmss-a100000005:~# /usr/local/mpi/bin/mpirun -allow-run-as-root -np 16 --bind-to numa -hostfile /root/hosts.txt -x MSCCLPP_DEBUG=WARN -x LD_LIBRARY_PATH=/root/mscclpp-public/build:$LD_LIBRARY_PATH -mca pml ob1 -mca btl ^openib -mca btl_tcp_if_include eth0 -x NCCL_IB_PCI_RELAXED_ORDERING=1 -x NCCL_SOCKET_IFNAME=eth0 -x CUDA_DEVICE_ORDER=PCI_BUS_ID -x NCCL_NET_GDR_LEVEL=5 -x NCCL_TOPO_FILE=/topo.xml -x NCCL_NET_PLUGIN=none -x NCCL_IB_DISABLE=0 -x NCCL_MIN_NCHANNELS=32 -x NCCL_DEBUG=WARN -x NCCL_P2P_DISABLE=0 -x NCCL_SHM_DISABLE=0 -x MSCCLPP_HOME=/root/mscclpp-public -np 16 -npernode 8 python3 /root/mscclpp-public/python/test/pipeline_expt_2_node.py
tree_file=symmetric/sym_split_IB20_NV300_bw_k_1_320
####################################################### Allgather #######################################################
nranks=16
k=1
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
               12288             1048576              155.65              155.65                0.08                0.08
               12288             2097152              155.88              155.88                0.08                0.08
               24576               65536              155.33              155.33                0.16                0.16
               24576              131072              155.19              155.19                0.16                0.16
               24576              262144              155.37              155.37                0.16                0.16
               24576              524288              155.03              155.03                0.16                0.16
               24576             1048576              155.23              155.23                0.16                0.16
               24576             2097152              155.37              155.37                0.16                0.16
               49152               65536              155.34              155.34                0.32                0.32
               49152              131072              155.17              155.17                0.32                0.32
               49152              262144              155.54              155.54                0.32                0.32
               49152              524288              155.25              155.25                0.32                0.32
               49152             1048576              155.27              155.27                0.32                0.32
               49152             2097152              164.03              164.03                0.30                0.30
               98304               65536              155.51              155.51                0.63                0.63
               98304              131072              155.40              155.40                0.63                0.63
               98304              262144              155.51              155.51                0.63                0.63
               98304              524288              155.26              155.26                0.63                0.63
               98304             1048576              155.93              155.93                0.63                0.63
               98304             2097152              155.41              155.41                0.63                0.63
              196608               65536              156.29              156.29                1.26                1.26
              196608              131072              156.26              156.26                1.26                1.26
              196608              262144              156.13              156.13                1.26                1.26
              196608              524288              156.00              156.00                1.26                1.26
              196608             1048576              155.87              155.87                1.26                1.26
              196608             2097152              156.10              156.10                1.26                1.26
              393216               65536              161.72              161.72                2.43                2.43
              393216              131072              162.01              162.01                2.43                2.43
              393216              262144              162.06              162.06                2.43                2.43
              393216              524288              161.68              161.68                2.43                2.43
              393216             1048576              161.76              161.76                2.43                2.43
              393216             2097152              162.00              162.00                2.43                2.43
              786432               65536              164.56              164.56                4.78                4.78
              786432              131072              164.37              164.37                4.78                4.78
              786432              262144              164.82              164.82                4.77                4.77
              786432              524288              165.01              165.01                4.77                4.77
              786432             1048576              164.75              164.75                4.77                4.77
              786432             2097152              164.90              164.90                4.77                4.77
             1572864               65536              171.41              171.41                9.18                9.18
             1572864              131072              170.02              170.02                9.25                9.25
             1572864              262144              170.15              170.15                9.24                9.24
             1572864              524288              170.20              170.20                9.24                9.24
             1572864             1048576              171.68              171.68                9.16                9.16
             1572864             2097152              170.32              170.32                9.23                9.23
             3145728               65536              183.22              183.22               17.17               17.17
             3145728              131072              183.24              183.24               17.17               17.17
             3145728              262144              183.19              183.19               17.17               17.17
             3145728              524288              183.73              183.73               17.12               17.12
             3145728             1048576              183.12              183.12               17.18               17.18
             3145728             2097152              183.26              183.26               17.17               17.17
             6291456               65536              204.60              204.60               30.75               30.75
             6291456              131072              204.91              204.91               30.70               30.70
             6291456              262144              204.61              204.61               30.75               30.75
             6291456              524288              205.81              205.81               30.57               30.57
             6291456             1048576              204.38              204.38               30.78               30.78
             6291456             2097152              204.10              204.10               30.82               30.82
            12582912               65536              265.48              265.48               47.40               47.40
            12582912              131072              253.88              253.88               49.56               49.56
            12582912              262144              255.22              255.22               49.30               49.30
            12582912              524288              254.03              254.03               49.53               49.53
            12582912             1048576              254.68              254.68               49.41               49.41
            12582912             2097152              254.45              254.45               49.45               49.45
            25165824               65536              385.54              385.54               65.27               65.27
            25165824              131072              343.47              343.47               73.27               73.27
            25165824              262144              346.59              346.59               72.61               72.61
            25165824              524288              349.73              349.73               71.96               71.96
            25165824             1048576              347.49              347.49               72.42               72.42
            25165824             2097152              348.74              348.74               72.16               72.16
            50331648               65536              611.01              611.01               82.37               82.37
            50331648              131072              487.08              487.08              103.33              103.33
            50331648              262144              472.64              472.64              106.49              106.49
            50331648              524288              512.31              512.31               98.25               98.25
            50331648             1048576              504.37              504.37               99.79               99.79
            50331648             2097152              506.51              506.51               99.37               99.37
           100663296               65536             1223.64             1223.64               82.27               82.27
           100663296              131072              837.90              837.90              120.14              120.14
           100663296              262144              732.40              732.40              137.44              137.44
           100663296              524288              708.67              708.67              142.05              142.05
           100663296             1048576             1023.08             1023.08               98.39               98.39
           100663296             2097152             1010.00             1010.00               99.67               99.67
           201326592               65536             2338.65             2338.65               86.09               86.09
           201326592              131072             1654.11             1654.11              121.71              121.71
           201326592              262144             1295.76             1295.76              155.37              155.37
           201326592              524288             1151.76             1151.76              174.80              174.80
           201326592             1048576             1271.08             1271.08              158.39              158.39
           201326592             2097152             1891.61             1891.61              106.43              106.43
           402653184               65536             4531.22             4531.22               88.86               88.86
