AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=16, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_sendtb.cu::pipeline_reduceScatter_sendtb_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
            50331648              524288              874.55              874.55               57.55               57.55
            50331648             1048576              803.18              803.18               62.67               62.67
            50331648             2097152              835.69              835.69               60.23               60.23
            50331648             4194304             1002.53             1002.53               50.20               50.20
           100663296               65536             4557.04             4557.04               22.09               22.09
           100663296              131072             2993.11             2993.11               33.63               33.63
           100663296              262144             2135.61             2135.61               47.14               47.14
           100663296              524288             1690.57             1690.57               59.54               59.54
           100663296             1048576             1504.53             1504.53               66.91               66.91
           100663296             2097152             1457.67             1457.67               69.06               69.06
           100663296             4194304             1550.95             1550.95               64.90               64.90
           201326592               65536             9096.81             9096.81               22.13               22.13
           201326592              131072             5954.46             5954.46               33.81               33.81
           201326592              262144             4227.44             4227.44               47.62               47.62
           201326592              524288             3321.95             3321.95               60.60               60.60
           201326592             1048576             2901.85             2901.85               69.38               69.38
           201326592             2097152             2713.53             2713.53               74.19               74.19
           201326592             4194304             2747.23             2747.23               73.28               73.28
           402653184               65536            18229.54            18229.54               22.09               22.09
           402653184              131072            11913.08            11913.08               33.80               33.80
           402653184              262144             8418.72             8418.72               47.83               47.83
           402653184              524288             6569.83             6569.83               61.29               61.29
           402653184             1048576             5687.87             5687.87               70.79               70.79
           402653184             2097152             5253.37             5253.37               76.65               76.65
           402653184             4194304             5203.89             5203.89               77.38               77.38
           805306368               65536            36530.05            36530.05               22.05               22.05
           805306368              131072            23799.96            23799.96               33.84               33.84
           805306368              262144            16810.30            16810.30               47.91               47.91
           805306368              524288            13078.84            13078.84               61.57               61.57
           805306368             1048576            11256.74            11256.74               71.54               71.54
           805306368             2097152            10328.19            10328.19               77.97               77.97
           805306368             4194304            10110.41            10110.41               79.65               79.65
          1610612736               65536            73100.44            73100.44               22.03               22.03
          1610612736              131072            47540.40            47540.40               33.88               33.88
          1610612736              262144            33534.42            33534.42               48.03               48.03
          1610612736              524288            26088.19            26088.19               61.74               61.74
          1610612736             1048576            22398.18            22398.18               71.91               71.91
          1610612736             2097152            20517.40            20517.40               78.50               78.50
          1610612736             4194304            19820.81            19820.81               81.26               81.26
          3221225472               65536           146483.61           146483.61               21.99               21.99
          3221225472              131072            95191.47            95191.47               33.84               33.84
          3221225472              262144            67116.11            67116.11               47.99               47.99
          3221225472              524288            52385.18            52385.18               61.49               61.49
          3221225472             1048576            45004.20            45004.20               71.58               71.58
          3221225472             2097152            40976.54            40976.54               78.61               78.61
          3221225472             4194304            39629.05            39629.05               81.28               81.28

##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=22, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=4
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_sendtb.cu::pipeline_reduceScatter_sendtb_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               72.07               72.07                0.04                0.04
                3072              131072               71.97               71.97                0.04                0.04
                3072              262144               72.15               72.15                0.04                0.04
                3072              524288               71.99               71.99                0.04                0.04
                3072             1048576               72.17               72.17                0.04                0.04
                3072             2097152               71.97               71.97                0.04                0.04
                3072             4194304               71.95               71.95                0.04                0.04
                6144               65536               72.02               72.02                0.09                0.09
                6144              131072               72.12               72.12                0.09                0.09
                6144              262144               71.91               71.91                0.09                0.09
                6144              524288               72.06               72.06                0.09                0.09
                6144             1048576               72.06               72.06                0.09                0.09
                6144             2097152               72.05               72.05                0.09                0.09
                6144             4194304               71.99               71.99                0.09                0.09
               12288               65536               72.39               72.39                0.17                0.17
               12288              131072               72.10               72.10                0.17                0.17
               12288              262144               72.09               72.09                0.17                0.17
               12288              524288               72.29               72.29                0.17                0.17
               12288             1048576               72.11               72.11                0.17                0.17
