AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=16, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
           402653184              131072             4327.09             4327.09               93.05               93.05
           402653184              262144             3481.99             3481.99              115.64              115.64
           402653184              524288             3072.00             3072.00              131.07              131.07
           402653184             1048576             2922.84             2922.84              137.76              137.76
           402653184             2097152             2928.80             2928.80              137.48              137.48
           402653184             4194304             2981.92             2981.92              135.03              135.03
           402653184             8388608             3167.82             3167.82              127.11              127.11
           402653184            16777216             3626.28             3626.28              111.04              111.04
           402653184            33554432             4150.10             4150.10               97.02               97.02
           402653184            67108864             4150.98             4150.98               97.00               97.00
           805306368               65536            12774.27            12774.27               63.04               63.04
           805306368              131072             8680.03             8680.03               92.78               92.78
           805306368              262144             6972.74             6972.74              115.49              115.49
           805306368              524288             6139.47             6139.47              131.17              131.17
           805306368             1048576             5753.62             5753.62              139.97              139.97
           805306368             2097152             5707.86             5707.86              141.09              141.09
           805306368             4194304             5677.74             5677.74              141.84              141.84
           805306368             8388608             5812.17             5812.17              138.56              138.56
           805306368            16777216             6231.93             6231.93              129.22              129.22
           805306368            33554432             7174.63             7174.63              112.24              112.24
           805306368            67108864             8309.86             8309.86               96.91               96.91
          1610612736               65536            25631.51            25631.51               62.84               62.84
          1610612736              131072            17372.46            17372.46               92.71               92.71
          1610612736              262144            13932.54            13932.54              115.60              115.60
          1610612736              524288            12279.04            12279.04              131.17              131.17
          1610612736             1048576            11443.51            11443.51              140.74              140.74
          1610612736             2097152            11260.18            11260.18              143.04              143.04
          1610612736             4194304            11061.76            11061.76              145.60              145.60
          1610612736             8388608            11090.12            11090.12              145.23              145.23
          1610612736            16777216            11457.71            11457.71              140.57              140.57
          1610612736            33554432            12367.59            12367.59              130.23              130.23
          1610612736            67108864            14281.51            14281.51              112.78              112.78
          3221225472               65536            51334.79            51334.79               62.75               62.75
          3221225472              131072            34780.20            34780.20               92.62               92.62
          3221225472              262144            27888.60            27888.60              115.50              115.50
          3221225472              524288            24565.58            24565.58              131.13              131.13
          3221225472             1048576            22836.81            22836.81              141.05              141.05
          3221225472             2097152            22407.98            22407.98              143.75              143.75
          3221225472             4194304            21799.38            21799.38              147.77              147.77
          3221225472             8388608            21633.84            21633.84              148.90              148.90
          3221225472            16777216            21931.71            21931.71              146.88              146.88
          3221225472            33554432            22775.14            22775.14              141.44              141.44
          3221225472            67108864            24562.03            24562.03              131.15              131.15

##################################################### ReduceScatter #####################################################
nranks=16
