root@vmss-a100000005:~# /usr/local/mpi/bin/mpirun -allow-run-as-root -np 16 --bind-to numa -hostfile /root/hosts.txt -x MSCCLPP_DEBUG=WARN -x LD_LIBRARY_PATH=/root/mscclpp-public/build:$LD_LIBRARY_PATH -mca pml ob1 -mca btl ^openib -mca btl_tcp_if_include eth0 -x NCCL_IB_PCI_RELAXED_ORDERING=1 -x NCCL_SOCKET_IFNAME=eth0 -x CUDA_DEVICE_ORDER=PCI_BUS_ID -x NCCL_NET_GDR_LEVEL=5 -x NCCL_TOPO_FILE=/topo.xml -x NCCL_NET_PLUGIN=none -x NCCL_IB_DISABLE=0 -x NCCL_MIN_NCHANNELS=32 -x NCCL_DEBUG=WARN -x NCCL_P2P_DISABLE=0 -x NCCL_SHM_DISABLE=0 -x MSCCLPP_HOME=/root/mscclpp-public -np 16 -npernode 8 python3 /root/mscclpp-public/python/test/pipeline_expt_2_node.py
tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
####################################################### Allgather #######################################################
nranks=16
k=1
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
          3221225472              131072            23991.67            23991.67              134.26              134.26
          3221225472              262144            18589.05            18589.05              173.29              173.29
          3221225472              524288            14153.75            14153.75              227.59              227.59
          3221225472             1048576            12278.43            12278.43              262.35              262.35
          3221225472             2097152            12361.72            12361.72              260.58              260.58

####################################################### Allgather #######################################################
nranks=16
k=3
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               67.59               67.59                0.05                0.05
                3072              131072               67.54               67.54                0.05                0.05
                3072              262144               67.05               67.05                0.05                0.05
                3072              524288               68.51               68.51                0.04                0.04
                3072             1048576               67.23               67.23                0.05                0.05
                3072             2097152               66.71               66.71                0.05                0.05
                6144               65536               67.12               67.12                0.09                0.09
                6144              131072               67.23               67.23                0.09                0.09
                6144              262144               67.72               67.72                0.09                0.09
                6144              524288               67.32               67.32                0.09                0.09
                6144             1048576               66.57               66.57                0.09                0.09
                6144             2097152               67.07               67.07                0.09                0.09
               12288               65536               67.10               67.10                0.18                0.18
               12288              131072               67.70               67.70                0.18                0.18
               12288              262144               67.61               67.61                0.18                0.18
               12288              524288               66.58               66.58                0.18                0.18
               12288             1048576               67.27               67.27                0.18                0.18
               12288             2097152               67.59               67.59                0.18                0.18
               24576               65536               68.02               68.02                0.36                0.36
               24576              131072               67.49               67.49                0.36                0.36
               24576              262144               67.39               67.39                0.36                0.36
               24576              524288               67.60               67.60                0.36                0.36
               24576             1048576               66.95               66.95                0.37                0.37
               24576             2097152               67.54               67.54                0.36                0.36
               49152               65536               67.90               67.90                0.72                0.72
               49152              131072               67.62               67.62                0.73                0.73
               49152              262144               67.55               67.55                0.73                0.73
               49152              524288               67.57               67.57                0.73                0.73
               49152             1048576               67.44               67.44                0.73                0.73
               49152             2097152               67.89               67.89                0.72                0.72
               98304               65536               67.74               67.74                1.45                1.45
               98304              131072               67.78               67.78                1.45                1.45
               98304              262144               67.50               67.50                1.46                1.46
               98304              524288               68.04               68.04                1.44                1.44
               98304             1048576               67.97               67.97                1.45                1.45
               98304             2097152               68.52               68.52                1.43                1.43
              196608               65536               70.13               70.13                2.80                2.80
              196608              131072               70.32               70.32                2.80                2.80
              196608              262144               70.20               70.20                2.80                2.80
              196608              524288               70.44               70.44                2.79                2.79
              196608             1048576               70.70               70.70                2.78                2.78
              196608             2097152               70.89               70.89                2.77                2.77
              393216               65536               71.28               71.28                5.52                5.52
              393216              131072               71.48               71.48                5.50                5.50
              393216              262144               71.65               71.65                5.49                5.49
              393216              524288               71.96               71.96                5.46                5.46
              393216             1048576               71.74               71.74                5.48                5.48
              393216             2097152               71.85               71.85                5.47                5.47
              786432               65536               74.15               74.15               10.61               10.61
              786432              131072               73.47               73.47               10.70               10.70
              786432              262144               73.75               73.75               10.66               10.66
              786432              524288               74.28               74.28               10.59               10.59
              786432             1048576               73.70               73.70               10.67               10.67
              786432             2097152               74.77               74.77               10.52               10.52
             1572864               65536               79.46               79.46               19.79               19.79
             1572864              131072               79.10               79.10               19.88               19.88
             1572864              262144               79.51               79.51               19.78               19.78
             1572864              524288               79.27               79.27               19.84               19.84
             1572864             1048576               79.32               79.32               19.83               19.83
             1572864             2097152               82.40               82.40               19.09               19.09
             3145728               65536               85.73               85.73               36.69               36.69
             3145728              131072               85.34               85.34               36.86               36.86
             3145728              262144               84.25               84.25               37.34               37.34
             3145728              524288               83.92               83.92               37.49               37.49
             3145728             1048576               84.40               84.40               37.27               37.27
             3145728             2097152               84.63               84.63               37.17               37.17
             6291456               65536              112.45              112.45               55.95               55.95
             6291456              131072               98.07               98.07               64.15               64.15
             6291456              262144               98.94               98.94               63.59               63.59
             6291456              524288               98.85               98.85               63.65               63.65
             6291456             1048576               99.16               99.16               63.44               63.44
             6291456             2097152               99.61               99.61               63.16               63.16
            12582912               65536              162.69              162.69               77.34               77.34
            12582912              131072              132.07              132.07               95.28               95.28
            12582912              262144              117.45              117.45              107.13              107.13
            12582912              524288              119.55              119.55              105.25              105.25
            12582912             1048576              119.01              119.01              105.73              105.73
            12582912             2097152              119.45              119.45              105.34              105.34
            25165824               65536              280.76              280.76               89.63               89.63
            25165824              131072              213.36              213.36              117.95              117.95
            25165824              262144              182.99              182.99              137.53              137.53
            25165824              524288              168.80              168.80              149.09              149.09
            25165824             1048576              172.05              172.05              146.27              146.27
            25165824             2097152              170.76              170.76              147.37              147.37
            50331648               65536              577.13              577.13               87.21               87.21
            50331648              131072              389.27              389.27              129.30              129.30
            50331648              262144              321.12              321.12              156.74              156.74
            50331648              524288              280.40              280.40              179.50              179.50
            50331648             1048576              280.82              280.82              179.23              179.23
            50331648             2097152              276.24              276.24              182.20              182.20
           100663296               65536             1147.24             1147.24               87.74               87.74
           100663296              131072              798.79              798.79              126.02              126.02
           100663296              262144              593.45              593.45              169.62              169.62
           100663296              524288              497.20              497.20              202.46              202.46
           100663296             1048576              473.58              473.58              212.56              212.56
           100663296             2097152              502.26              502.26              200.42              200.42
           201326592               65536             2241.94             2241.94               89.80               89.80
           201326592              131072             1572.35             1572.35              128.04              128.04
           201326592              262144             1230.45             1230.45              163.62              163.62
           201326592              524288              947.12              947.12              212.57              212.57
           201326592             1048576              889.62              889.62              226.31              226.31
           201326592             2097152              902.28              902.28              223.13              223.13
           402653184               65536             4416.70             4416.70               91.17               91.17
           402653184              131072             3068.42             3068.42              131.23              131.23
           402653184              262144             2398.03             2398.03              167.91              167.91
           402653184              524288             1859.61             1859.61              216.53              216.53
           402653184             1048576             1710.23             1710.23              235.44              235.44
           402653184             2097152             1733.31             1733.31              232.30              232.30
           805306368               65536             8820.71             8820.71               91.30               91.30
           805306368              131072             6051.46             6051.46              133.08              133.08
           805306368              262144             4706.44             4706.44              171.11              171.11
           805306368              524288             3657.65             3657.65              220.17              220.17
           805306368             1048576             3199.99             3199.99              251.66              251.66
           805306368             2097152             3352.74             3352.74              240.19              240.19
          1610612736               65536            17699.17            17699.17               91.00               91.00
          1610612736              131072            12033.96            12033.96              133.84              133.84
          1610612736              262144             9354.27             9354.27              172.18              172.18
          1610612736              524288             7162.64             7162.64              224.86              224.86
          1610612736             1048576             6227.72             6227.72              258.62              258.62
          1610612736             2097152             6410.57             6410.57              251.24              251.24
          3221225472               65536            35391.87            35391.87               91.02               91.02
          3221225472              131072            24013.25            24013.25              134.14              134.14
          3221225472              262144            18580.46            18580.46              173.37              173.37
          3221225472              524288            14143.73            14143.73              227.75              227.75
          3221225472             1048576            12201.12            12201.12              264.01              264.01
          3221225472             2097152            12365.97            12365.97              260.49              260.49

####################################################### Allgather #######################################################
nranks=16
k=4
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               87.00               87.00                0.04                0.04
                3072              131072               86.91               86.91                0.04                0.04
                3072              262144               86.41               86.41                0.04                0.04
                3072              524288               87.28               87.28                0.04                0.04
                3072             1048576               87.04               87.04                0.04                0.04
                3072             2097152               87.58               87.58                0.04                0.04
                6144               65536               86.54               86.54                0.07                0.07
                6144              131072               86.57               86.57                0.07                0.07
                6144              262144               87.61               87.61                0.07                0.07
                6144              524288               87.28               87.28                0.07                0.07
                6144             1048576               87.31               87.31                0.07                0.07
                6144             2097152               87.14               87.14                0.07                0.07
               12288               65536               86.73               86.73                0.14                0.14
               12288              131072               86.98               86.98                0.14                0.14
               12288              262144               87.08               87.08                0.14                0.14
               12288              524288               87.14               87.14                0.14                0.14
               12288             1048576               87.44               87.44                0.14                0.14
               12288             2097152               87.04               87.04                0.14                0.14
               24576               65536               87.32               87.32                0.28                0.28
               24576              131072               87.39               87.39                0.28                0.28
               24576              262144               87.07               87.07                0.28                0.28
               24576              524288               87.02               87.02                0.28                0.28
               24576             1048576               86.93               86.93                0.28                0.28
               24576             2097152               87.11               87.11                0.28                0.28
               49152               65536               87.61               87.61                0.56                0.56
               49152              131072               89.96               89.96                0.55                0.55
               49152              262144               87.24               87.24                0.56                0.56
               49152              524288               87.56               87.56                0.56                0.56
               49152             1048576               87.42               87.42                0.56                0.56
               49152             2097152               87.42               87.42                0.56                0.56
               98304               65536               87.59               87.59                1.12                1.12
               98304              131072               87.46               87.46                1.12                1.12
               98304              262144               87.19               87.19                1.13                1.13
               98304              524288               87.37               87.37                1.13                1.13
               98304             1048576               87.33               87.33                1.13                1.13
               98304             2097152               87.52               87.52                1.12                1.12
              196608               65536               88.25               88.25                2.23                2.23
              196608              131072               88.37               88.37                2.22                2.22
              196608              262144               87.97               87.97                2.23                2.23
              196608              524288               88.01               88.01                2.23                2.23
              196608             1048576               88.29               88.29                2.23                2.23
              196608             2097152               88.93               88.93                2.21                2.21
              393216               65536               91.05               91.05                4.32                4.32
              393216              131072               90.91               90.91                4.33                4.33
              393216              262144               91.24               91.24                4.31                4.31
              393216              524288               91.28               91.28                4.31                4.31
              393216             1048576               91.69               91.69                4.29                4.29
              393216             2097152               91.40               91.40                4.30                4.30
              786432               65536               94.42               94.42                8.33                8.33
              786432              131072               98.25               98.25                8.00                8.00
              786432              262144               97.51               97.51                8.07                8.07
              786432              524288               93.98               93.98                8.37                8.37
              786432             1048576               93.97               93.97                8.37                8.37
              786432             2097152               94.06               94.06                8.36                8.36
             1572864               65536               97.20               97.20               16.18               16.18
             1572864              131072               97.35               97.35               16.16               16.16
             1572864              262144               97.95               97.95               16.06               16.06
             1572864              524288               97.65               97.65               16.11               16.11
             1572864             1048576               97.31               97.31               16.16               16.16
             1572864             2097152               98.84               98.84               15.91               15.91
             3145728               65536              102.83              102.83               30.59               30.59
             3145728              131072              103.44              103.44               30.41               30.41
             3145728              262144              102.48              102.48               30.70               30.70
             3145728              524288              103.54              103.54               30.38               30.38
             3145728             1048576              103.66              103.66               30.35               30.35
             3145728             2097152              102.66              102.66               30.64               30.64
             6291456               65536              135.03              135.03               46.59               46.59
             6291456              131072              113.30              113.30               55.53               55.53
             6291456              262144              115.30              115.30               54.56               54.56
             6291456              524288              113.79              113.79               55.29               55.29
             6291456             1048576              114.51              114.51               54.94               54.94
             6291456             2097152              114.96              114.96               54.73               54.73
            12582912               65536              175.93              175.93               71.52               71.52
            12582912              131072              156.03              156.03               80.65               80.65
            12582912              262144              137.31              137.31               91.64               91.64
            12582912              524288              134.15              134.15               93.79               93.79
            12582912             1048576              136.65              136.65               92.08               92.08
            12582912             2097152              133.79              133.79               94.05               94.05
            25165824               65536              290.27              290.27               86.70               86.70
            25165824              131072              226.91              226.91              110.91              110.91
            25165824              262144              201.06              201.06              125.16              125.16
            25165824              524288              182.67              182.67              137.77              137.77
            25165824             1048576              181.34              181.34              138.78              138.78
            25165824             2097152              181.16              181.16              138.92              138.92
            50331648               65536              605.02              605.02               83.19               83.19
            50331648              131072              396.50              396.50              126.94              126.94
            50331648              262144              332.28              332.28              151.47              151.47
            50331648              524288              306.14              306.14              164.41              164.41
            50331648             1048576              280.88              280.88              179.19              179.19
            50331648             2097152              283.58              283.58              177.49              177.49
           100663296               65536             1152.86             1152.86               87.32               87.32
           100663296              131072              824.25              824.25              122.13              122.13
           100663296              262144              607.47              607.47              165.71              165.71
           100663296              524288              513.29              513.29              196.11              196.11
           100663296             1048576              486.45              486.45              206.93              206.93
           100663296             2097152              481.05              481.05              209.26              209.26
           201326592               65536             2227.62             2227.62               90.38               90.38
           201326592              131072             1576.41             1576.41              127.71              127.71
           201326592              262144             1247.98             1247.98              161.32              161.32
           201326592              524288              965.83              965.83              208.45              208.45
           201326592             1048576              881.50              881.50              228.39              228.39
           201326592             2097152              893.12              893.12              225.42              225.42
