AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True, n_pipeline=1
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=0
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
nblocks=28, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=0
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               56.27               56.27                0.05                0.05
                3072              131072               55.72               55.72                0.06                0.06
                3072              262144               55.80               55.80                0.06                0.06
                3072              524288               55.90               55.90                0.05                0.05
                3072             1048576               55.89               55.89                0.05                0.05
                3072             2097152               55.75               55.75                0.06                0.06
                3072             4194304               55.67               55.67                0.06                0.06
                6144               65536               55.90               55.90                0.11                0.11
                6144              131072               55.97               55.97                0.11                0.11
                6144              262144               55.84               55.84                0.11                0.11
                6144              524288               55.66               55.66                0.11                0.11
                6144             1048576               55.59               55.59                0.11                0.11
                6144             2097152               55.78               55.78                0.11                0.11
                6144             4194304               55.77               55.77                0.11                0.11
               12288               65536               56.07               56.07                0.22                0.22
               12288              131072               55.93               55.93                0.22                0.22
               12288              262144               56.28               56.28                0.22                0.22
               12288              524288               56.31               56.31                0.22                0.22
               12288             1048576               55.92               55.92                0.22                0.22
               12288             2097152               55.86               55.86                0.22                0.22
               12288             4194304               56.17               56.17                0.22                0.22
               24576               65536               56.26               56.26                0.44                0.44
               24576              131072               56.20               56.20                0.44                0.44
               24576              262144               56.34               56.34                0.44                0.44
               24576              524288               56.14               56.14                0.44                0.44
               24576             1048576               56.29               56.29                0.44                0.44
               24576             2097152               56.20               56.20                0.44                0.44
               24576             4194304               56.17               56.17                0.44                0.44
               49152               65536               56.28               56.28                0.87                0.87
               49152              131072               56.52               56.52                0.87                0.87
               49152              262144               56.82               56.82                0.87                0.87
               49152              524288               56.50               56.50                0.87                0.87
               49152             1048576               56.21               56.21                0.87                0.87
               49152             2097152               56.30               56.30                0.87                0.87
               49152             4194304               56.48               56.48                0.87                0.87
               98304               65536               56.82               56.82                1.73                1.73
               98304              131072               57.23               57.23                1.72                1.72
               98304              262144               56.91               56.91                1.73                1.73
               98304              524288               56.86               56.86                1.73                1.73
               98304             1048576               56.92               56.92                1.73                1.73
               98304             2097152               57.01               57.01                1.72                1.72
               98304             4194304               56.69               56.69                1.73                1.73
