AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=None
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
           201326592               65536             3133.98             3133.98               64.24               64.24
           201326592              131072             2378.15             2378.15               84.66               84.66
           201326592              262144             1894.85             1894.85              106.25              106.25
           201326592              524288             1652.35             1652.35              121.84              121.84
           201326592             1048576             1590.30             1590.30              126.60              126.60
           201326592             2097152             1627.70             1627.70              123.69              123.69
           201326592             4194304             1714.43             1714.43              117.43              117.43
           201326592             8388608             1959.85             1959.85              102.73              102.73
           201326592            16777216             2264.88             2264.88               88.89               88.89
           201326592            33554432             2212.67             2212.67               90.99               90.99
           201326592            67108864             2259.27             2259.27               89.11               89.11
           402653184               65536             6245.67             6245.67               64.47               64.47
           402653184              131072             4719.52             4719.52               85.32               85.32
           402653184              262144             3730.34             3730.34              107.94              107.94
           402653184              524288             3241.80             3241.80              124.21              124.21
           402653184             1048576             3068.79             3068.79              131.21              131.21
           402653184             2097152             3078.84             3078.84              130.78              130.78
           402653184             4194304             3122.27             3122.27              128.96              128.96
           402653184             8388608             3319.36             3319.36              121.30              121.30
           402653184            16777216             3812.63             3812.63              105.61              105.61
           402653184            33554432             4379.84             4379.84               91.93               91.93
           402653184            67108864             4378.46             4378.46               91.96               91.96
           805306368               65536            12602.02            12602.02               63.90               63.90
           805306368              131072             9447.01             9447.01               85.24               85.24
           805306368              262144             7470.01             7470.01              107.81              107.81
           805306368              524288             6420.50             6420.50              125.43              125.43
           805306368             1048576             6048.03             6048.03              133.15              133.15
           805306368             2097152             6001.12             6001.12              134.19              134.19
           805306368             4194304             5923.72             5923.72              135.95              135.95
           805306368             8388608             6067.86             6067.86              132.72              132.72
           805306368            16777216             6515.17             6515.17              123.60              123.60
