AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=None
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
            50331648             1048576              516.17              516.17               97.51               97.51
            50331648             2097152              534.58              534.58               94.15               94.15
            50331648             4194304              572.45              572.45               87.92               87.92
            50331648             8388608              575.82              575.82               87.41               87.41
            50331648            16777216              582.17              582.17               86.45               86.45
            50331648            33554432              575.20              575.20               87.50               87.50
            50331648            67108864              575.59              575.59               87.44               87.44
           100663296               65536             1572.52             1572.52               64.01               64.01
           100663296              131072             1199.56             1199.56               83.92               83.92
           100663296              262144              956.24              956.24              105.27              105.27
           100663296              524288              861.31              861.31              116.87              116.87
           100663296             1048576              861.43              861.43              116.86              116.86
           100663296             2097152              969.22              969.22              103.86              103.86
           100663296             4194304             1004.93             1004.93              100.17              100.17
           100663296             8388608             1081.29             1081.29               93.10               93.10
           100663296            16777216             1082.95             1082.95               92.95               92.95
           100663296            33554432             1091.93             1091.93               92.19               92.19
           100663296            67108864             1081.49             1081.49               93.08               93.08
           201326592               65536             3151.04             3151.04               63.89               63.89
           201326592              131072             2378.85             2378.85               84.63               84.63
           201326592              262144             1856.77             1856.77              108.43              108.43
           201326592              524288             1635.33             1635.33              123.11              123.11
           201326592             1048576             1582.91             1582.91              127.19              127.19
           201326592             2097152             1612.13             1612.13              124.88              124.88
           201326592             4194304             1843.27             1843.27              109.22              109.22
           201326592             8388608             1929.70             1929.70              104.33              104.33
           201326592            16777216             2110.60             2110.60               95.39               95.39
           201326592            33554432             2110.16             2110.16               95.41               95.41
           201326592            67108864             2105.89             2105.89               95.60               95.60
           402653184               65536             6323.08             6323.08               63.68               63.68
           402653184              131072             4755.31             4755.31               84.67               84.67
           402653184              262144             3689.46             3689.46              109.14              109.14
           402653184              524288             3206.00             3206.00              125.59              125.59
           402653184             1048576             3035.68             3035.68              132.64              132.64
           402653184             2097152             2962.52             2962.52              135.92              135.92
           402653184             4194304             3108.22             3108.22              129.54              129.54
           402653184             8388608             3574.19             3574.19              112.66              112.66
           402653184            16777216             3747.73             3747.73              107.44              107.44
           402653184            33554432             4135.64             4135.64               97.36               97.36
           402653184            67108864             4166.24             4166.24               96.65               96.65
           805306368               65536            12705.67            12705.67               63.38               63.38
           805306368              131072             9472.74             9472.74               85.01               85.01
           805306368              262144             7322.88             7322.88              109.97              109.97
           805306368              524288             6340.20             6340.20              127.02              127.02
           805306368             1048576             5915.41             5915.41              136.14              136.14
           805306368             2097152             5676.34             5676.34              141.87              141.87
           805306368             4194304             5717.00             5717.00              140.86              140.86
           805306368             8388608             6109.36             6109.36              131.82              131.82
           805306368            16777216             7056.18             7056.18              114.13              114.13
           805306368            33554432             7394.52             7394.52              108.91              108.91
           805306368            67108864             8223.76             8223.76               97.92               97.92
          1610612736               65536            25511.36            25511.36               63.13               63.13
          1610612736              131072            18960.48            18960.48               84.95               84.95
          1610612736              262144            14625.86            14625.86              110.12              110.12
          1610612736              524288            12626.30            12626.30              127.56              127.56
          1610612736             1048576            11721.00            11721.00              137.41              137.41
          1610612736             2097152            11092.40            11092.40              145.20              145.20
          1610612736             4194304            10948.38            10948.38              147.11              147.11
          1610612736             8388608            11176.64            11176.64              144.11              144.11
          1610612736            16777216            12102.92            12102.92              133.08              133.08
          1610612736            33554432            13987.60            13987.60              115.15              115.15
          1610612736            67108864            16802.50            16802.50               95.86               95.86
          3221225472               65536            51102.50            51102.50               63.03               63.03
          3221225472              131072            37920.25            37920.25               84.95               84.95
          3221225472              262144            29217.98            29217.98              110.25              110.25
          3221225472              524288            25205.19            25205.19              127.80              127.80
          3221225472             1048576            23361.83            23361.83              137.88              137.88
          3221225472             2097152            21946.90            21946.90              146.77              146.77
          3221225472             4194304            21463.98            21463.98              150.08              150.08
          3221225472             8388608            21488.81            21488.81              149.90              149.90
          3221225472            16777216            22137.53            22137.53              145.51              145.51
          3221225472            33554432            25716.19            25716.19              125.26              125.26
          3221225472            67108864            32720.24            32720.24               98.45               98.45

##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=28, n_parallel_sm_blocks=2, n_parallel_reduce_blocks=None
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               49.27               49.27                0.06                0.06
                3072              131072               49.25               49.25                0.06                0.06
                3072              262144               49.22               49.22                0.06                0.06
                3072              524288               49.07               49.07                0.06                0.06
                3072             1048576               49.40               49.40                0.06                0.06
                3072             2097152               49.14               49.14                0.06                0.06
                3072             4194304               49.13               49.13                0.06                0.06
                3072             8388608               49.18               49.18                0.06                0.06
                3072            16777216               49.09               49.09                0.06                0.06
                3072            33554432               49.12               49.12                0.06                0.06
                3072            67108864               48.96               48.96                0.06                0.06
                6144               65536               49.21               49.21                0.12                0.12
                6144              131072               49.44               49.44                0.12                0.12
                6144              262144               49.37               49.37                0.12                0.12
                6144              524288               49.16               49.16                0.12                0.12
                6144             1048576               49.26               49.26                0.12                0.12
                6144             2097152               49.46               49.46                0.12                0.12
                6144             4194304               49.40               49.40                0.12                0.12
                6144             8388608               49.27               49.27                0.12                0.12
                6144            16777216               49.16               49.16                0.12                0.12
                6144            33554432               49.25               49.25                0.12                0.12
                6144            67108864               49.03               49.03                0.13                0.13
               12288               65536               49.46               49.46                0.25                0.25
               12288              131072               49.66               49.66                0.25                0.25
               12288              262144               49.24               49.24                0.25                0.25
               12288              524288               49.48               49.48                0.25                0.25
               12288             1048576               49.33               49.33                0.25                0.25
               12288             2097152               49.54               49.54                0.25                0.25
               12288             4194304               49.60               49.60                0.25                0.25
               12288             8388608               49.50               49.50                0.25                0.25
               12288            16777216               49.62               49.62                0.25                0.25
               12288            33554432               49.42               49.42                0.25                0.25
               12288            67108864               49.44               49.44                0.25                0.25
               24576               65536               49.68               49.68                0.49                0.49
               24576              131072               49.74               49.74                0.49                0.49
               24576              262144               50.02               50.02                0.49                0.49
               24576              524288               49.54               49.54                0.50                0.50
               24576             1048576               49.39               49.39                0.50                0.50
               24576             2097152               49.72               49.72                0.49                0.49
               24576             4194304               49.53               49.53                0.50                0.50
               24576             8388608               49.72               49.72                0.49                0.49
               24576            16777216               49.50               49.50                0.50                0.50
               24576            33554432               49.75               49.75                0.49                0.49
               24576            67108864               49.43               49.43                0.50                0.50
               49152               65536               49.85               49.85                0.99                0.99
               49152              131072               50.11               50.11                0.98                0.98
               49152              262144               50.21               50.21                0.98                0.98
               49152              524288               49.94               49.94                0.98                0.98
               49152             1048576               50.12               50.12                0.98                0.98
               49152             2097152               50.20               50.20                0.98                0.98
               49152             4194304               50.37               50.37                0.98                0.98
               49152             8388608               50.15               50.15                0.98                0.98
               49152            16777216               50.21               50.21                0.98                0.98
               49152            33554432               49.81               49.81                0.99                0.99
               49152            67108864               49.96               49.96                0.98                0.98
               98304               65536               51.18               51.18                1.92                1.92
               98304              131072               51.08               51.08                1.92                1.92
               98304              262144               50.90               50.90                1.93                1.93
               98304              524288               50.98               50.98                1.93                1.93
               98304             1048576               50.59               50.59                1.94                1.94
               98304             2097152               51.09               51.09                1.92                1.92
               98304             4194304               51.22               51.22                1.92                1.92
               98304             8388608               50.73               50.73                1.94                1.94
               98304            16777216               51.10               51.10                1.92                1.92
               98304            33554432               51.04               51.04                1.93                1.93
               98304            67108864               50.86               50.86                1.93                1.93
              196608               65536               52.88               52.88                3.72                3.72
              196608              131072               53.03               53.03                3.71                3.71
              196608              262144               52.80               52.80                3.72                3.72
              196608              524288               53.03               53.03                3.71                3.71
              196608             1048576               53.21               53.21                3.70                3.70
              196608             2097152               52.84               52.84                3.72                3.72
              196608             4194304               53.06               53.06                3.71                3.71
              196608             8388608               52.96               52.96                3.71                3.71
              196608            16777216               52.88               52.88                3.72                3.72
              196608            33554432               52.98               52.98                3.71                3.71
              196608            67108864               53.16               53.16                3.70                3.70
              393216               65536               55.06               55.06                7.14                7.14
              393216              131072               55.34               55.34                7.11                7.11
              393216              262144               55.24               55.24                7.12                7.12
              393216              524288               55.08               55.08                7.14                7.14
              393216             1048576               55.27               55.27                7.12                7.12
              393216             2097152               55.26               55.26                7.12                7.12
              393216             4194304               55.32               55.32                7.11                7.11
              393216             8388608               55.09               55.09                7.14                7.14
              393216            16777216               54.80               54.80                7.17                7.17
              393216            33554432               55.26               55.26                7.12                7.12
              393216            67108864               55.01               55.01                7.15                7.15
              786432               65536               59.81               59.81               13.15               13.15
              786432              131072               60.16               60.16               13.07               13.07
              786432              262144               59.88               59.88               13.13               13.13
              786432              524288               59.87               59.87               13.13               13.13
              786432             1048576               59.82               59.82               13.15               13.15
              786432             2097152               59.68               59.68               13.18               13.18
              786432             4194304               59.31               59.31               13.26               13.26
              786432             8388608               59.84               59.84               13.14               13.14
              786432            16777216               59.54               59.54               13.21               13.21
              786432            33554432               59.64               59.64               13.19               13.19
              786432            67108864               60.34               60.34               13.03               13.03
             1572864               65536               82.81               82.81               18.99               18.99
             1572864              131072               66.24               66.24               23.74               23.74
             1572864              262144               66.99               66.99               23.48               23.48
             1572864              524288               67.83               67.83               23.19               23.19
             1572864             1048576               67.03               67.03               23.46               23.46
