AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=False
nblocks=16, n_parallel_sm_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_hack.cu::pipeline_reduceScatter_hack_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
nblocks=30, n_parallel_sm_blocks=2
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_hack.cu::pipeline_reduceScatter_hack_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536              100.97              100.97                0.03                0.03
                3072              131072               99.51               99.51                0.03                0.03
                3072              262144              100.25              100.25                0.03                0.03
                3072              524288               99.71               99.71                0.03                0.03
                3072             1048576              100.33              100.33                0.03                0.03
                3072             2097152               98.56               98.56                0.03                0.03
                3072             4194304               99.05               99.05                0.03                0.03
                6144               65536               98.59               98.59                0.06                0.06
                6144              131072               98.41               98.41                0.06                0.06
                6144              262144               98.66               98.66                0.06                0.06
                6144              524288               98.79               98.79                0.06                0.06
                6144             1048576               98.41               98.41                0.06                0.06
                6144             2097152               98.79               98.79                0.06                0.06
                6144             4194304               98.18               98.18                0.06                0.06
               12288               65536               97.71               97.71                0.13                0.13
               12288              131072               97.97               97.97                0.13                0.13
               12288              262144               97.78               97.78                0.13                0.13
               12288              524288               97.86               97.86                0.13                0.13
               12288             1048576               97.88               97.88                0.13                0.13
               12288             2097152               97.66               97.66                0.13                0.13
               12288             4194304               97.85               97.85                0.13                0.13
               24576               65536               98.53               98.53                0.25                0.25
               24576              131072               99.65               99.65                0.25                0.25
               24576              262144               98.47               98.47                0.25                0.25
               24576              524288               98.76               98.76                0.25                0.25
               24576             1048576               98.62               98.62                0.25                0.25
               24576             2097152               98.34               98.34                0.25                0.25
               24576             4194304              100.65              100.65                0.24                0.24
               49152               65536               98.50               98.50                0.50                0.50
               49152              131072               98.56               98.56                0.50                0.50
               49152              262144               98.58               98.58                0.50                0.50
               49152              524288               98.10               98.10                0.50                0.50
               49152             1048576               98.43               98.43                0.50                0.50
               49152             2097152               98.78               98.78                0.50                0.50
               49152             4194304               98.23               98.23                0.50                0.50
               98304               65536               98.84               98.84                0.99                0.99
               98304              131072               98.89               98.89                0.99                0.99
               98304              262144               99.25               99.25                0.99                0.99
               98304              524288               99.35               99.35                0.99                0.99
               98304             1048576               99.52               99.52                0.99                0.99
               98304             2097152               99.12               99.12                0.99                0.99
               98304             4194304               99.12               99.12                0.99                0.99
              196608               65536              101.24              101.24                1.94                1.94
              196608              131072              108.10              108.10                1.82                1.82
              196608              262144              101.23              101.23                1.94                1.94
              196608              524288              100.69              100.69                1.95                1.95
              196608             1048576              101.39              101.39                1.94                1.94
              196608             2097152              100.95              100.95                1.95                1.95
              196608             4194304              101.18              101.18                1.94                1.94
              393216               65536              103.95              103.95                3.78                3.78
              393216              131072              103.85              103.85                3.79                3.79
              393216              262144              104.04              104.04                3.78                3.78
              393216              524288              103.88              103.88                3.79                3.79
              393216             1048576              103.97              103.97                3.78                3.78
              393216             2097152              103.99              103.99                3.78                3.78
              393216             4194304              104.07              104.07                3.78                3.78
              786432               65536              113.67              113.67                6.92                6.92
              786432              131072              114.18              114.18                6.89                6.89
              786432              262144              114.91              114.91                6.84                6.84
              786432              524288              113.95              113.95                6.90                6.90
              786432             1048576              114.31              114.31                6.88                6.88
              786432             2097152              114.29              114.29                6.88                6.88
              786432             4194304              114.26              114.26                6.88                6.88
             1572864               65536              128.09              128.09               12.28               12.28
             1572864              131072              129.11              129.11               12.18               12.18
             1572864              262144              129.13              129.13               12.18               12.18
             1572864              524288              129.02              129.02               12.19               12.19
             1572864             1048576              129.60              129.60               12.14               12.14
             1572864             2097152              129.50              129.50               12.15               12.15
             1572864             4194304              129.22              129.22               12.17               12.17
             3145728               65536              149.06              149.06               21.10               21.10
             3145728              131072              150.67              150.67               20.88               20.88
             3145728              262144              160.83              160.83               19.56               19.56
             3145728              524288              160.37              160.37               19.62               19.62
             3145728             1048576              160.23              160.23               19.63               19.63
             3145728             2097152              160.32              160.32               19.62               19.62
             3145728             4194304              160.52              160.52               19.60               19.60
             6291456               65536              196.08              196.08               32.09               32.09
             6291456              131072              183.61              183.61               34.26               34.26
             6291456              262144              191.52              191.52               32.85               32.85
             6291456              524288              219.70              219.70               28.64               28.64
             6291456             1048576              218.91              218.91               28.74               28.74
             6291456             2097152              219.10              219.10               28.72               28.72
             6291456             4194304              219.27              219.27               28.69               28.69
            12582912               65536              289.95              289.95               43.40               43.40
            12582912              131072              237.77              237.77               52.92               52.92
            12582912              262144              234.00              234.00               53.77               53.77
            12582912              524288              275.81              275.81               45.62               45.62
            12582912             1048576              332.65              332.65               37.83               37.83
            12582912             2097152              332.74              332.74               37.82               37.82
            12582912             4194304              333.10              333.10               37.78               37.78
            25165824               65536              473.87              473.87               53.11               53.11
            25165824              131072              362.24              362.24               69.47               69.47
            25165824              262144              320.70              320.70               78.47               78.47
            25165824              524288              340.56              340.56               73.90               73.90
            25165824             1048576              443.37              443.37               56.76               56.76
            25165824             2097152              568.24              568.24               44.29               44.29
            25165824             4194304              568.31              568.31               44.28               44.28
            50331648               65536              841.09              841.09               59.84               59.84
            50331648              131072              607.21              607.21               82.89               82.89
            50331648              262144              499.17              499.17              100.83              100.83
            50331648              524288              485.58              485.58              103.65              103.65
            50331648             1048576              563.24              563.24               89.36               89.36
            50331648             2097152              786.04              786.04               64.03               64.03
            50331648             4194304             1055.31             1055.31               47.69               47.69
           100663296               65536             1584.07             1584.07               63.55               63.55
           100663296              131072             1084.04             1084.04               92.86               92.86
           100663296              262144              836.15              836.15              120.39              120.39
           100663296              524288              786.75              786.75              127.95              127.95
           100663296             1048576              844.83              844.83              119.15              119.15
           100663296             2097152             1009.14             1009.14               99.75               99.75
           100663296             4194304             1623.51             1623.51               62.00               62.00
           201326592               65536             3074.76             3074.76               65.48               65.48
           201326592              131072             2055.99             2055.99               97.92               97.92
           201326592              262144             1539.22             1539.22              130.80              130.80
           201326592              524288             1448.20             1448.20              139.02              139.02
           201326592             1048576             1489.17             1489.17              135.19              135.19
           201326592             2097152             1680.36             1680.36              119.81              119.81
           201326592             4194304             2141.87             2141.87               94.00               94.00
           402653184               65536             6066.15             6066.15               66.38               66.38
           402653184              131072             4118.60             4118.60               97.76               97.76
           402653184              262144             3126.85             3126.85              128.77              128.77
           402653184              524288             2777.04             2777.04              144.99              144.99
           402653184             1048576             2741.52             2741.52              146.87              146.87
           402653184             2097152             2905.58             2905.58              138.58              138.58
           402653184             4194304             3358.92             3358.92              119.88              119.88
           805306368               65536            12072.67            12072.67               66.70               66.70
           805306368              131072             8366.20             8366.20               96.26               96.26
           805306368              262144             6483.54             6483.54              124.21              124.21
           805306368              524288             5591.18             5591.18              144.03              144.03
           805306368             1048576             5222.37             5222.37              154.20              154.20
           805306368             2097152             5311.40             5311.40              151.62              151.62
           805306368             4194304             5775.48             5775.48              139.44              139.44
          1610612736               65536            24116.35            24116.35               66.79               66.79
          1610612736              131072            16999.51            16999.51               94.74               94.74
          1610612736              262144            12975.13            12975.13              124.13              124.13
          1610612736              524288            10898.18            10898.18              147.79              147.79
          1610612736             1048576            10245.39            10245.39              157.20              157.20
          1610612736             2097152            10115.04            10115.04              159.23              159.23
          1610612736             4194304            10559.96            10559.96              152.52              152.52
          3221225472               65536            48197.81            48197.81               66.83               66.83
          3221225472              131072            34161.48            34161.48               94.29               94.29
          3221225472              262144            26026.18            26026.18              123.77              123.77
          3221225472              524288            21734.03            21734.03              148.21              148.21
          3221225472             1048576            20125.70            20125.70              160.06              160.06
          3221225472             2097152            19786.22            19786.22              162.80              162.80
          3221225472             4194304            20189.90            20189.90              159.55              159.55

##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=False
nblocks=44, n_parallel_sm_blocks=3
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_hack.cu::pipeline_reduceScatter_hack_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               99.86               99.86                0.03                0.03
                3072              131072              100.03              100.03                0.03                0.03
                3072              262144              100.79              100.79                0.03                0.03
                3072              524288               99.51               99.51                0.03                0.03
                3072             1048576               99.31               99.31                0.03                0.03
                3072             2097152               99.44               99.44                0.03                0.03
                3072             4194304               98.99               98.99                0.03                0.03
                6144               65536               98.92               98.92                0.06                0.06
                6144              131072               98.72               98.72                0.06                0.06
                6144              262144               99.01               99.01                0.06                0.06
                6144              524288              100.00              100.00                0.06                0.06
                6144             1048576               99.22               99.22                0.06                0.06
                6144             2097152               98.54               98.54                0.06                0.06
                6144             4194304               98.36               98.36                0.06                0.06
               12288               65536               97.90               97.90                0.13                0.13
               12288              131072               98.02               98.02                0.13                0.13
               12288              262144               97.65               97.65                0.13                0.13
               12288              524288               97.80               97.80                0.13                0.13
               12288             1048576               97.71               97.71                0.13                0.13
               12288             2097152               98.69               98.69                0.12                0.12
               12288             4194304               98.22               98.22                0.13                0.13
               24576               65536               98.28               98.28                0.25                0.25
               24576              131072               98.96               98.96                0.25                0.25
               24576              262144               98.93               98.93                0.25                0.25
               24576              524288               98.41               98.41                0.25                0.25
               24576             1048576               98.72               98.72                0.25                0.25
               24576             2097152               98.43               98.43                0.25                0.25
               24576             4194304              101.24              101.24                0.24                0.24
               49152               65536               98.94               98.94                0.50                0.50
               49152              131072               98.71               98.71                0.50                0.50
               49152              262144               98.44               98.44                0.50                0.50
               49152              524288               98.71               98.71                0.50                0.50
               49152             1048576               98.70               98.70                0.50                0.50
               49152             2097152               98.20               98.20                0.50                0.50
               49152             4194304               98.39               98.39                0.50                0.50
               98304               65536               99.17               99.17                0.99                0.99
               98304              131072               99.14               99.14                0.99                0.99
               98304              262144               99.64               99.64                0.99                0.99
               98304              524288               99.27               99.27                0.99                0.99
               98304             1048576               99.07               99.07                0.99                0.99
               98304             2097152               99.85               99.85                0.98                0.98
               98304             4194304               99.64               99.64                0.99                0.99
              196608               65536              105.27              105.27                1.87                1.87
              196608              131072              101.28              101.28                1.94                1.94
              196608              262144              101.36              101.36                1.94                1.94
              196608              524288              101.22              101.22                1.94                1.94
              196608             1048576              101.05              101.05                1.95                1.95
              196608             2097152              101.07              101.07                1.95                1.95
              196608             4194304              100.97              100.97                1.95                1.95
              393216               65536              104.33              104.33                3.77                3.77
              393216              131072              103.94              103.94                3.78                3.78
              393216              262144              104.52              104.52                3.76                3.76
              393216              524288              104.26              104.26                3.77                3.77
              393216             1048576              103.99              103.99                3.78                3.78
              393216             2097152              104.37              104.37                3.77                3.77
              393216             4194304              103.98              103.98                3.78                3.78
              786432               65536              108.21              108.21                7.27                7.27
              786432              131072              107.58              107.58                7.31                7.31
              786432              262144              108.66              108.66                7.24                7.24
              786432              524288              108.15              108.15                7.27                7.27
              786432             1048576              108.34              108.34                7.26                7.26
              786432             2097152              108.37              108.37                7.26                7.26
              786432             4194304              108.69              108.69                7.24                7.24
             1572864               65536              124.69              124.69               12.61               12.61
             1572864              131072              122.08              122.08               12.88               12.88
             1572864              262144              122.65              122.65               12.82               12.82
             1572864              524288              122.66              122.66               12.82               12.82
             1572864             1048576              122.99              122.99               12.79               12.79
             1572864             2097152              123.33              123.33               12.75               12.75
