AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=15, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_sendtb.cu::pipeline_reduceScatter_sendtb_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
          3221225472              262144            22574.23            22574.23              142.69              142.69
          3221225472              524288            18825.48            18825.48              171.11              171.11
          3221225472             1048576            18406.76            18406.76              175.00              175.00
          3221225472             2097152            18570.71            18570.71              173.46              173.46
          3221225472             4194304            19291.12            19291.12              166.98              166.98

##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=18, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=4
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_sendtb.cu::pipeline_reduceScatter_sendtb_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               79.46               79.46                0.04                0.04
                3072              131072               79.50               79.50                0.04                0.04
                3072              262144               80.70               80.70                0.04                0.04
                3072              524288               79.61               79.61                0.04                0.04
                3072             1048576               79.31               79.31                0.04                0.04
                3072             2097152               80.10               80.10                0.04                0.04
                3072             4194304               79.63               79.63                0.04                0.04
                6144               65536               78.79               78.79                0.08                0.08
                6144              131072               79.21               79.21                0.08                0.08
                6144              262144               78.74               78.74                0.08                0.08
                6144              524288               79.49               79.49                0.08                0.08
                6144             1048576               78.45               78.45                0.08                0.08
                6144             2097152               79.16               79.16                0.08                0.08
                6144             4194304               79.25               79.25                0.08                0.08
               12288               65536               79.34               79.34                0.15                0.15
               12288              131072               79.23               79.23                0.16                0.16
               12288              262144               79.18               79.18                0.16                0.16
               12288              524288               79.20               79.20                0.16                0.16
               12288             1048576               79.28               79.28                0.15                0.15
               12288             2097152               78.98               78.98                0.16                0.16
               12288             4194304               79.41               79.41                0.15                0.15
               24576               65536               78.93               78.93                0.31                0.31
               24576              131072               79.05               79.05                0.31                0.31
               24576              262144               78.77               78.77                0.31                0.31
               24576              524288               79.08               79.08                0.31                0.31
               24576             1048576               79.35               79.35                0.31                0.31
               24576             2097152               79.66               79.66                0.31                0.31
               24576             4194304               79.10               79.10                0.31                0.31
               49152               65536               80.17               80.17                0.61                0.61
               49152              131072               80.18               80.18                0.61                0.61
               49152              262144               79.54               79.54                0.62                0.62
               49152              524288               80.44               80.44                0.61                0.61
               49152             1048576               79.96               79.96                0.61                0.61
               49152             2097152               80.04               80.04                0.61                0.61
               49152             4194304               80.04               80.04                0.61                0.61
               98304               65536               80.29               80.29                1.22                1.22
               98304              131072               80.64               80.64                1.22                1.22
