root@vmss-a100000005:~# /usr/local/mpi/bin/mpirun -allow-run-as-root -np 16 --bind-to numa -hostfile /root/hosts.txt -x MSCCLPP_DEBUG=WARN -x LD_LIBRARY_PATH=/root/mscclpp-public/build:$LD_LIBRARY_PATH -mca pml ob1 -mca btl ^openib -mca btl_tcp_if_include eth0 -x NCCL_IB_PCI_RELAXED_ORDERING=1 -x NCCL_SOCKET_IFNAME=eth0 -x CUDA_DEVICE_ORDER=PCI_BUS_ID -x NCCL_NET_GDR_LEVEL=5 -x NCCL_TOPO_FILE=/topo.xml -x NCCL_NET_PLUGIN=none -x NCCL_IB_DISABLE=0 -x NCCL_MIN_NCHANNELS=32 -x NCCL_DEBUG=WARN -x NCCL_P2P_DISABLE=0 -x NCCL_SHM_DISABLE=0 -x MSCCLPP_HOME=/root/mscclpp-public -np 16 -npernode 8 python3 /root/mscclpp-public/python/test/pipeline_expt_2_node.py
tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
####################################################### Allgather #######################################################
nranks=16
k=1
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel_simplified_read.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
               98304             1048576               55.53               55.53                1.77                1.77
               98304             2097152               54.60               54.60                1.80                1.80
               98304             4194304               55.18               55.18                1.78                1.78
              196608               65536               55.78               55.78                3.52                3.52
              196608              131072               56.14               56.14                3.50                3.50
              196608              262144               56.60               56.60                3.47                3.47
              196608              524288               56.67               56.67                3.47                3.47
              196608             1048576               56.41               56.41                3.49                3.49
              196608             2097152               56.79               56.79                3.46                3.46
              196608             4194304               56.95               56.95                3.45                3.45
              393216               65536               57.77               57.77                6.81                6.81
              393216              131072               58.63               58.63                6.71                6.71
              393216              262144               58.59               58.59                6.71                6.71
              393216              524288               58.73               58.73                6.70                6.70
              393216             1048576               57.66               57.66                6.82                6.82
              393216             2097152               58.65               58.65                6.70                6.70
              393216             4194304               58.06               58.06                6.77                6.77
              786432               65536               61.59               61.59               12.77               12.77
              786432              131072               61.55               61.55               12.78               12.78
              786432              262144               61.38               61.38               12.81               12.81
              786432              524288               61.28               61.28               12.83               12.83
              786432             1048576               61.10               61.10               12.87               12.87
              786432             2097152               61.35               61.35               12.82               12.82
              786432             4194304               61.41               61.41               12.81               12.81
             1572864               65536               65.34               65.34               24.07               24.07
             1572864              131072               66.07               66.07               23.81               23.81
             1572864              262144               65.64               65.64               23.96               23.96
             1572864              524288               65.47               65.47               24.02               24.02
             1572864             1048576               65.56               65.56               23.99               23.99
             1572864             2097152               64.53               64.53               24.37               24.37
             1572864             4194304               71.13               71.13               22.11               22.11
             3145728               65536              105.16              105.16               29.91               29.91
             3145728              131072               75.27               75.27               41.79               41.79
             3145728              262144               72.11               72.11               43.62               43.62
             3145728              524288               75.77               75.77               41.52               41.52
             3145728             1048576               75.94               75.94               41.42               41.42
             3145728             2097152               74.64               74.64               42.15               42.15
             3145728             4194304               76.02               76.02               41.38               41.38
             6291456               65536              152.57              152.57               41.24               41.24
             6291456              131072              119.32              119.32               52.73               52.73
             6291456              262144               85.98               85.98               73.18               73.18
             6291456              524288               81.67               81.67               77.03               77.03
             6291456             1048576               84.36               84.36               74.58               74.58
             6291456             2097152               85.20               85.20               73.85               73.85
             6291456             4194304               85.07               85.07               73.95               73.95
            12582912               65536              273.21              273.21               46.06               46.06
            12582912              131072              181.83              181.83               69.20               69.20
            12582912              262144              147.55              147.55               85.28               85.28
            12582912              524288              114.16              114.16              110.23              110.23
            12582912             1048576              112.56              112.56              111.79              111.79
            12582912             2097152              113.74              113.74              110.63              110.63
            12582912             4194304              115.00              115.00              109.42              109.42
            25165824               65536              518.05              518.05               48.58               48.58
            25165824              131072              328.62              328.62               76.58               76.58
            25165824              262144              232.46              232.46              108.26              108.26
            25165824              524288              188.94              188.94              133.20              133.20
            25165824             1048576              171.47              171.47              146.77              146.77
            25165824             2097152              173.14              173.14              145.35              145.35
            25165824             4194304              173.39              173.39              145.14              145.14
            50331648               65536             1012.30             1012.30               49.72               49.72
            50331648              131072              619.54              619.54               81.24               81.24
            50331648              262144              418.31              418.31              120.32              120.32
            50331648              524288              319.80              319.80              157.39              157.39
            50331648             1048576              285.13              285.13              176.52              176.52
            50331648             2097152              299.11              299.11              168.27              168.27
            50331648             4194304              297.38              297.38              169.25              169.25
           100663296               65536             2012.06             2012.06               50.03               50.03
           100663296              131072             1223.81             1223.81               82.25               82.25
           100663296              262144              793.98              793.98              126.78              126.78
           100663296              524288              598.73              598.73              168.13              168.13
           100663296             1048576              517.00              517.00              194.71              194.71
           100663296             2097152              502.23              502.23              200.43              200.43
           100663296             4194304              581.39              581.39              173.14              173.14
           201326592               65536             3987.38             3987.38               50.49               50.49
           201326592              131072             2409.44             2409.44               83.56               83.56
           201326592              262144             1548.82             1548.82              129.99              129.99
           201326592              524288             1146.14             1146.14              175.66              175.66
           201326592             1048576              954.10              954.10              211.01              211.01
           201326592             2097152              900.47              900.47              223.58              223.58
           201326592             4194304              975.11              975.11              206.46              206.46
           402653184               65536             7955.92             7955.92               50.61               50.61
           402653184              131072             4773.53             4773.53               84.35               84.35
           402653184              262144             3040.75             3040.75              132.42              132.42
           402653184              524288             2237.11             2237.11              179.99              179.99
           402653184             1048576             1830.28             1830.28              220.00              220.00
           402653184             2097152             1668.87             1668.87              241.27              241.27
           402653184             4194304             1736.90             1736.90              231.82              231.82
           805306368               65536            15900.88            15900.88               50.65               50.65
           805306368              131072             9505.25             9505.25               84.72               84.72
           805306368              262144             5998.47             5998.47              134.25              134.25
           805306368              524288             4311.75             4311.75              186.77              186.77
           805306368             1048576             3550.63             3550.63              226.81              226.81
           805306368             2097152             3144.33             3144.33              256.11              256.11
           805306368             4194304             3219.06             3219.06              250.17              250.17
          1610612736               65536            31848.85            31848.85               50.57               50.57
          1610612736              131072            18960.35            18960.35               84.95               84.95
          1610612736              262144            11918.35            11918.35              135.14              135.14
          1610612736              524288             8451.91             8451.91              190.56              190.56
          1610612736             1048576             7002.22             7002.22              230.01              230.01
          1610612736             2097152             6144.83             6144.83              262.11              262.11
          1610612736             4194304             6216.40             6216.40              259.09              259.09
          3221225472               65536            63739.12            63739.12               50.54               50.54
          3221225472              131072            37895.06            37895.06               85.00               85.00
          3221225472              262144            23717.89            23717.89              135.81              135.81
          3221225472              524288            16599.83            16599.83              194.05              194.05
          3221225472             1048576            13803.04            13803.04              233.37              233.37
          3221225472             2097152            12209.47            12209.47              263.83              263.83
          3221225472             4194304            12240.50            12240.50              263.16              263.16

####################################################### Allgather #######################################################
nranks=16
k=3
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel_simplified_read.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               68.33               68.33                0.04                0.04
                3072              131072               68.39               68.39                0.04                0.04
                3072              262144               68.35               68.35                0.04                0.04
                3072              524288               68.18               68.18                0.05                0.05
                3072             1048576               68.34               68.34                0.04                0.04
                3072             2097152               68.02               68.02                0.05                0.05
                3072             4194304               68.18               68.18                0.05                0.05
                6144               65536               68.72               68.72                0.09                0.09
                6144              131072               68.50               68.50                0.09                0.09
                6144              262144               68.20               68.20                0.09                0.09
                6144              524288               68.52               68.52                0.09                0.09
                6144             1048576               68.14               68.14                0.09                0.09
                6144             2097152               68.14               68.14                0.09                0.09
                6144             4194304               68.31               68.31                0.09                0.09
               12288               65536               67.97               67.97                0.18                0.18
               12288              131072               68.61               68.61                0.18                0.18
               12288              262144               68.34               68.34                0.18                0.18
               12288              524288               68.93               68.93                0.18                0.18
               12288             1048576               68.30               68.30                0.18                0.18
               12288             2097152               68.68               68.68                0.18                0.18
               12288             4194304               68.40               68.40                0.18                0.18
               24576               65536               68.23               68.23                0.36                0.36
               24576              131072               68.25               68.25                0.36                0.36
               24576              262144               67.91               67.91                0.36                0.36
               24576              524288               68.54               68.54                0.36                0.36
               24576             1048576               67.82               67.82                0.36                0.36
               24576             2097152               68.07               68.07                0.36                0.36
               24576             4194304               68.31               68.31                0.36                0.36
               49152               65536               68.56               68.56                0.72                0.72
               49152              131072               68.44               68.44                0.72                0.72
               49152              262144               68.61               68.61                0.72                0.72
               49152              524288               68.39               68.39                0.72                0.72
               49152             1048576               68.90               68.90                0.71                0.71
               49152             2097152               68.42               68.42                0.72                0.72
               49152             4194304               68.85               68.85                0.71                0.71
               98304               65536               68.88               68.88                1.43                1.43
               98304              131072               68.61               68.61                1.43                1.43
               98304              262144               69.48               69.48                1.41                1.41
               98304              524288               68.95               68.95                1.43                1.43
               98304             1048576               68.78               68.78                1.43                1.43
               98304             2097152               69.34               69.34                1.42                1.42
               98304             4194304               68.92               68.92                1.43                1.43
              196608               65536               71.85               71.85                2.74                2.74
              196608              131072               71.87               71.87                2.74                2.74
              196608              262144               71.94               71.94                2.73                2.73
              196608              524288               71.70               71.70                2.74                2.74
              196608             1048576               71.59               71.59                2.75                2.75
              196608             2097152               71.91               71.91                2.73                2.73
              196608             4194304               71.57               71.57                2.75                2.75
              393216               65536               73.22               73.22                5.37                5.37
              393216              131072               73.24               73.24                5.37                5.37
              393216              262144               73.41               73.41                5.36                5.36
              393216              524288               73.39               73.39                5.36                5.36
              393216             1048576               73.12               73.12                5.38                5.38
              393216             2097152               73.27               73.27                5.37                5.37
              393216             4194304               73.54               73.54                5.35                5.35
              786432               65536               75.76               75.76               10.38               10.38
              786432              131072               75.87               75.87               10.37               10.37
              786432              262144               81.05               81.05                9.70                9.70
              786432              524288               75.55               75.55               10.41               10.41
              786432             1048576               75.55               75.55               10.41               10.41
              786432             2097152               75.80               75.80               10.38               10.38
              786432             4194304               75.49               75.49               10.42               10.42
             1572864               65536               80.25               80.25               19.60               19.60
             1572864              131072               80.27               80.27               19.59               19.59
             1572864              262144               80.28               80.28               19.59               19.59
             1572864              524288               80.04               80.04               19.65               19.65
             1572864             1048576               79.87               79.87               19.69               19.69
